"","airline_name","type_traveller","cabin_flown","overall_rating","seat_comfort_rating","cabin_staff_rating","food_beverages_rating","inflight_entertainment_rating","ground_service_rating","wifi_connectivity_rating","value_money_rating","recommended"
"5563","airbaltic",NA,"Economy",8,3,4,3,2,NA,NA,5,1
"5564","airbaltic",NA,"Economy",3,3,3,0,0,NA,NA,2,0
"5565","air-transat",NA,"Premium Economy",2,1,4,4,1,NA,NA,2,0
"5566","air-transat",NA,"Economy",3,1,5,1,1,NA,NA,1,0
"5567","air-transat",NA,"Business Class",10,4,5,5,4,NA,NA,5,1
"5568","air-new-zealand",NA,"Economy",8,4,4,4,2,NA,NA,4,1
"5569","air-new-zealand",NA,"Economy",2,4,2,0,0,NA,NA,1,0
"5570","air-new-zealand",NA,"Business Class",10,5,5,4,4,NA,NA,4,1
"5571","aircalin",NA,"Economy",9,5,5,5,3,NA,NA,4,1
"5572","aircalin",NA,"Business Class",8,5,5,5,3,NA,NA,4,1
"5573","aircalin",NA,"Economy",10,5,5,5,5,NA,NA,5,1
"5574","airasia-x",NA,"Economy",2,3,4,2,0,NA,NA,3,0
"5575","airasia-x",NA,"Economy",6,2,4,4,0,NA,NA,3,0
"5576","airasia-x",NA,"Economy",8,5,5,3,4,NA,NA,5,1
"5577","airasia-x",NA,"Economy",4,3,3,2,0,NA,NA,3,0
"5578","airasia",NA,"Economy",8,4,5,4,3,NA,NA,5,1
"5579","airasia",NA,"Economy",7,3,4,4,3,NA,NA,5,1
"5580","airasia",NA,"Economy",7,NA,NA,NA,NA,NA,NA,4,1
"5581","airasia",NA,"Economy",1,1,1,1,1,NA,NA,1,0
"5582","airbaltic",NA,"Economy",NA,1,1,2,1,NA,NA,1,0
"5583","airbaltic",NA,"Economy",1,2,2,1,1,NA,NA,1,0
"5584","airbaltic",NA,"Economy",4,3,2,1,1,NA,NA,3,0
"5585","airbaltic",NA,"Economy",7,4,5,0,0,NA,NA,4,0
"5586","air-transat",NA,"Economy",9,3,4,3,4,NA,NA,5,1
"5587","air-transat",NA,"Economy",NA,4,2,1,0,NA,NA,1,0
"5588","air-transat",NA,"Economy",9,3,4,4,5,NA,NA,5,1
"5589","air-new-zealand",NA,"Premium Economy",10,5,5,5,5,NA,NA,5,1
"5590","air-new-zealand",NA,"Economy",3,1,4,4,4,NA,NA,2,0
"5591","air-new-zealand",NA,"Premium Economy",9,5,5,5,3,NA,NA,5,1
"5592","aircalin",NA,"Business Class",9,4,5,5,3,NA,NA,5,1
"5593","aircalin",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,0
"5594","aircalin",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0
"5595","aircalin",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,0
"5596","aircalin",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,0
"5597","airasia-x",NA,"Economy",10,4,5,5,0,NA,NA,5,1
"5598","airasia-x",NA,"Economy",8,4,3,3,3,NA,NA,4,1
"5599","airasia-x",NA,"Premium Economy",10,5,5,4,0,NA,NA,5,1
"5600","airasia",NA,"Economy",9,3,5,4,1,NA,NA,5,1
"5601","airasia",NA,"Economy",2,1,1,1,1,NA,NA,3,0
"5602","airasia",NA,"Economy",2,1,1,2,1,NA,NA,1,0
"5603","airasia",NA,"Economy",9,4,4,3,1,NA,NA,5,1
"5604","airbaltic",NA,"Economy",NA,3,3,0,2,NA,NA,1,0
"5605","airbaltic",NA,"Economy",9,4,5,3,0,NA,NA,3,1
"5606","airbaltic",NA,"Economy",6,NA,NA,NA,NA,NA,NA,4,1
"5607","airbaltic",NA,"Economy",2,NA,NA,NA,NA,NA,NA,1,0
"5608","air-transat",NA,"Economy",5,1,5,1,4,NA,NA,3,1
"5609","air-transat",NA,"Economy",NA,3,4,4,2,NA,NA,2,0
"5610","air-transat",NA,"Economy",9,3,5,4,4,NA,NA,5,1
"5611","air-new-zealand",NA,"Economy",10,4,5,4,4,NA,NA,4,1
"5612","air-new-zealand",NA,"Business Class",10,5,5,5,4,NA,NA,4,1
"5613","air-new-zealand",NA,"Economy",10,5,5,5,5,NA,NA,4,1
"5614","air-new-zealand",NA,"Economy",8,4,4,0,0,NA,NA,4,1
"5615","aircalin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5616","aircalin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5617","aircalin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5618","aircalin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5619","aircalin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5620","airasia-x",NA,"Economy",10,4,4,4,0,NA,NA,5,1
"5621","airasia-x",NA,"Economy",10,4,4,4,0,NA,NA,5,1
"5622","airasia-x",NA,"Economy",10,1,5,4,0,NA,NA,5,1
"5623","airasia",NA,"Economy",5,4,5,3,1,NA,NA,5,1
"5624","airasia",NA,"Economy",7,3,2,2,0,NA,NA,3,1
"5625","airasia",NA,"Economy",7,3,3,2,0,NA,NA,3,1
"5626","airasia",NA,"Economy",8,4,4,1,1,NA,NA,5,1
"5627","airbaltic",NA,"Economy",10,NA,NA,NA,NA,NA,NA,4,1
"5628","airbaltic",NA,"Economy",9,NA,NA,NA,NA,NA,NA,4,1
"5629","airbaltic",NA,"Economy",9,NA,NA,NA,NA,NA,NA,4,1
"5630","airbaltic",NA,"Economy",8,NA,NA,NA,NA,NA,NA,4,1
"5631","air-transat",NA,"Economy",10,4,5,5,0,NA,NA,5,1
"5632","air-transat",NA,"Economy",5,4,3,3,1,NA,NA,3,0
"5633","air-transat",NA,"Business Class",NA,3,1,3,4,NA,NA,2,0
"5634","air-new-zealand",NA,"Economy",7,3,4,0,4,NA,NA,4,1
"5635","air-new-zealand",NA,"Economy",10,5,5,5,5,NA,NA,5,1
"5636","air-new-zealand",NA,"Business Class",9,5,4,4,5,NA,NA,5,1
"5637","aircalin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5638","aircalin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5639","aircalin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5640","aircalin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5641","aircalin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5642","airasia-x",NA,"Economy",9,3,4,3,0,NA,NA,5,1
"5643","airasia-x",NA,"Economy",9,4,5,4,3,NA,NA,5,1
"5644","airasia-x",NA,"Premium Economy",7,5,5,3,3,NA,NA,5,1
"5645","airasia-x",NA,"Economy",NA,2,1,1,0,NA,NA,2,0
"5646","airasia",NA,"Economy",1,1,1,1,1,NA,NA,1,0
